SGB_ID,Genome_Name,Study,Sample_ID,Country,Westernized,Body_Site,Age_Category
1914,ZeeviD_2015__PNP_Main_7__bin.19,ZeeviD_2015,PNP_Main_7,ISR,Yes,Stool,Adult
1915,LeChatelierE_2013__MH0407__bin.23,LeChatelierE_2013,MH0407,DNK,Yes,Stool,Adult
1915,VatanenT_2016__G80274__bin.10,VatanenT_2016,G80274,FIN,Yes,Stool,Child
1407,Bengtsson-PalmeJ_2015__TRAVELRES13__bin.81,Bengtsson-PalmeJ_2015,TRAVELRES13,SWE,Yes,Stool,Adult
1407,Bengtsson-PalmeJ_2015__TRAVELRES14__bin.93,Bengtsson-PalmeJ_2015,TRAVELRES14,SWE,Yes,Stool,Adult
1407,GeversD_2014__SKBSTL043__bin.40,GeversD_2014,SKBSTL043,USA,Yes,Stool,Adult
1407,XieH_2016__YSZC12003_36522__bin.51,XieH_2016,YSZC12003_36522,GBR,Yes,Stool,Senior
1831,Bengtsson-PalmeJ_2015__TRAVELRES3__bin.95,Bengtsson-PalmeJ_2015,TRAVELRES3,SWE,Yes,Stool,Adult
1831,Bengtsson-PalmeJ_2015__TRAVELRES4__bin.108,Bengtsson-PalmeJ_2015,TRAVELRES4,SWE,Yes,Stool,Adult
1831,CosteaPI_2017__SID713B074-11-0-0__bin.1,CosteaPI_2017,SID713B074-11-0-0,KAZ,Yes,Stool,Adult
1831,HeQ_2017__SZAXPI029573-88__bin.27,HeQ_2017,SZAXPI029573-88,CHN,Yes,Stool,Adult
1831,QinN_2014__HD-67__bin.24,QinN_2014,HD-67,CHN,Yes,Stool,Adult
1831,ZeeviD_2015__PNP_Main_382__bin.24,ZeeviD_2015,PNP_Main_382,ISR,Yes,Stool,Adult
1832,BackhedF_2015__SID203_M__bin.18,BackhedF_2015,SID203_M,SWE,Yes,Stool,Adult
1832,BackhedF_2015__SID281_12M__bin.18,BackhedF_2015,SID281_12M,SWE,Yes,Stool,Child
1832,BackhedF_2015__SID332_B__bin.11,BackhedF_2015,SID332_B,SWE,Yes,Stool,Newborn
1832,Bengtsson-PalmeJ_2015__TRAVELRES22__bin.129,Bengtsson-PalmeJ_2015,TRAVELRES22,SWE,Yes,Stool,Adult
1832,Bengtsson-PalmeJ_2015__TRAVELRES24__bin.13,Bengtsson-PalmeJ_2015,TRAVELRES24,SWE,Yes,Stool,Adult
1832,Bengtsson-PalmeJ_2015__TRAVELRES52__bin.57,Bengtsson-PalmeJ_2015,TRAVELRES52,SWE,Yes,Stool,Adult
1832,Bengtsson-PalmeJ_2015__TRAVELRES58__bin.23,Bengtsson-PalmeJ_2015,TRAVELRES58,SWE,Yes,Stool,Adult
1832,BritoIL_2016__W1.6.ST__bin.54,BritoIL_2016,W1.6.ST,FJI,No,Stool,Child
1832,FengQ_2015__SID31876__bin.59,FengQ_2015,SID31876,AUT,Yes,Stool,Adult
1832,FengQ_2015__SID530394__bin.85,FengQ_2015,SID530394,AUT,Yes,Stool,Senior
3960,XieH_2016__YSZC12003_35519__bin.70,XieH_2016,YSZC12003_35519,GBR,Yes,Stool,Senior
3960,ZellerG_2014__CCIS87116798ST-4-0__bin.12,ZellerG_2014,CCIS87116798ST-4-0,FRA,Yes,Stool,Senior
1416,ChengpingW_2017__AS132raw__bin.27,ChengpingW_2017,AS132raw,CHN,Yes,Stool,Adult
1416,LeChatelierE_2013__MH0243__bin.30,LeChatelierE_2013,MH0243,DNK,Yes,Stool,Adult
1416,LiJ_2014__MH0355__bin.36,LiJ_2014,MH0355,DNK,Yes,Stool,Adult
1416,NielsenHB_2014__V1_UC41_0__bin.30,NielsenHB_2014,V1_UC41_0,ESP,Yes,Stool,Adult
1416,QinN_2014__HD-69__bin.31,QinN_2014,HD-69,CHN,Yes,Stool,Adult
1416,VogtmannE_2016__MMRS67247116ST-27-0-0__bin.47,VogtmannE_2016,MMRS67247116ST-27-0-0,USA,Yes,Stool,Adult
1416,WenC_2017__RA035__bin.21,WenC_2017,RA035,CHN,Yes,Stool,Adult
1416,XieH_2016__YSZC12003_35739__bin.8,XieH_2016,YSZC12003_35739,GBR,Yes,Stool,Senior
1416,YuJ_2015__SZAXPI015270-90__bin.49,YuJ_2015,SZAXPI015270-90,CHN,Yes,Stool,Senior
1416,ZeeviD_2015__PNP_Main_586__bin.38,ZeeviD_2015,PNP_Main_586,ISR,Yes,Stool,Adult
1884,HeQ_2017__RSZAXPI003082-116__bin.54,HeQ_2017,RSZAXPI003082-116,CHN,Yes,Stool,Adult
1885,ZellerG_2014__CCIS70398272ST-4-0__bin.31,ZellerG_2014,CCIS70398272ST-4-0,FRA,Yes,Stool,Adult
1887,ChengpingW_2017__AS42raw__bin.81,ChengpingW_2017,AS42raw,CHN,Yes,Stool,Adult
1887,ChengpingW_2017__AS54raw__bin.17,ChengpingW_2017,AS54raw,CHN,Yes,Stool,Adult
