SGB_ID,Genome_Name,Study,Sample_ID,Country,Westernized,Body_Site,Age_Category
2124,LiJ_2014__MH0326__bin.45,LiJ_2014,MH0326,DNK,Yes,Stool,Adult
2124,LiJ_2014__MH0342__bin.51,LiJ_2014,MH0342,DNK,Yes,Stool,Adult
2124,LiJ_2017__H3M516129__bin.51,LiJ_2017,H3M516129,CHN,Yes,Stool,Adult
2124,QinJ_2012__DLM014__bin.9,QinJ_2012,DLM014,CHN,Yes,Stool,Adult
2133,BackhedF_2015__SID338_M__bin.51,BackhedF_2015,SID338_M,SWE,Yes,Stool,Adult
2133,Bengtsson-PalmeJ_2015__TRAVELRES53__bin.56,Bengtsson-PalmeJ_2015,TRAVELRES53,SWE,Yes,Stool,Adult
2133,Bengtsson-PalmeJ_2015__TRAVELRES54__bin.57,Bengtsson-PalmeJ_2015,TRAVELRES54,SWE,Yes,Stool,Adult
2133,HMP_2012__SRS013476__bin.65,HMP_2012,SRS013476,USA,Yes,Stool,Adult
2133,HMP_2012__SRS020233__bin.13,HMP_2012,SRS020233,USA,Yes,Stool,Adult
2133,HMP_2012__SRS022609__bin.70,HMP_2012,SRS022609,USA,Yes,Stool,Adult
2133,NielsenHB_2014__MH0116__bin.40,NielsenHB_2014,MH0116,DNK,Yes,Stool,Adult
2133,VogtmannE_2016__MMRS11664448ST-27-0-0__bin.43,VogtmannE_2016,MMRS11664448ST-27-0-0,USA,Yes,Stool,Adult
2133,VogtmannE_2016__MMRS67690541ST-27-0-0__bin.48,VogtmannE_2016,MMRS67690541ST-27-0-0,USA,Yes,Stool,Adult
2133,VogtmannE_2016__MMRS84954772ST-27-0-0__bin.4,VogtmannE_2016,MMRS84954772ST-27-0-0,USA,Yes,Stool,Adult
2138,HMP_2012__SRS011134__bin.71,HMP_2012,SRS011134,USA,Yes,Stool,Adult
2138,HMP_2012__SRS022609__bin.42,HMP_2012,SRS022609,USA,Yes,Stool,Adult
2139,LeChatelierE_2013__MH0077__bin.17,LeChatelierE_2013,MH0077,DNK,Yes,Stool,Adult
2141,Bengtsson-PalmeJ_2015__TRAVELRES12__bin.29,Bengtsson-PalmeJ_2015,TRAVELRES12,SWE,Yes,Stool,Adult
2141,QinJ_2012__CON-006__bin.9,QinJ_2012,CON-006,CHN,Yes,Stool,Adult
2141,QinJ_2012__CON-056__bin.16,QinJ_2012,CON-056,CHN,Yes,Stool,Adult
2141,QinJ_2012__DLM014__bin.11,QinJ_2012,DLM014,CHN,Yes,Stool,Adult
2141,QinN_2014__HD-71__bin.3,QinN_2014,HD-71,CHN,Yes,Stool,Adult
2141,SchirmerM_2016__G88838__bin.4,SchirmerM_2016,G88838,NLD,Yes,Stool,Adult
2141,YuJ_2015__SZAXPI015243-31__bin.18,YuJ_2015,SZAXPI015243-31,CHN,Yes,Stool,Senior
2141,ZeeviD_2015__PNP_Main_470__bin.3,ZeeviD_2015,PNP_Main_470,ISR,Yes,Stool,Adult
2145,HMP_2012__SRS020233__bin.28,HMP_2012,SRS020233,USA,Yes,Stool,Adult
2145,ZeeviD_2015__PNP_Main_481__bin.45,ZeeviD_2015,PNP_Main_481,ISR,Yes,Stool,Adult
